league_id,league_name,team_id,team_name,overall_rank,overall_points,match,fixture,league_rank,total_match_points,transfers_used_in_match,transfers_used_cumulative,transfers_remaining,booster_id,booster_name,player_id,player_name,ipl_team_id,ipl_team,role,base_gameday_points,fantasy_applied_score,is_captain,is_vice_captain,is_booster_captain,detail_scrape_status,runs,balls,fours,sixes,strike_rate,wickets,economy,maidens,catches,run_outs,stumpings,played_status,points_breakdown_json,raw_detail_json
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,64712,Ishan Kishan,1379,SRH,WK,116,116.0,False,False,False,ok,80,38,8,5,210.52,0,0,0,0,0,0,1,"{""bonuses"": {""catch_bonus"": ""0"", ""century"": ""0"", ""half_century"": ""8"", ""mom"": ""0"", ""thirty"": ""0"", ""wicket_bonus"": ""0""}, ""catches"": ""0"", ""economy"": ""0"", ""fours"": ""8"", ""overall"": ""116"", ""run_outs"": ""0"", ""runs"": ""80"", ""sixes"": ""10.00"", ""starting_xi"": ""4"", ""strike_rate"": ""6"", ""stumpings"": ""0"", ""wickets"": ""0""}","{""GamedayPoints"": [{""CatchePoints"": ""0"", ""CthsBonusPoints"": ""0"", ""DirectRunOutPoints"": ""0"", ""DotBonusPoint"": ""0"", ""DuckOutPoints"": ""0"", ""EconomyRatePoint"": ""0"", ""FRWicketPoints"": ""0"", ""FVWicketPoints"": ""0"", ""FiveWkHaul"": ""0"", ""FourPoints"": ""8"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": ""0"", ""GamedayId"": 1, ""HATTrickPOints"": ""0"", ""HalfCenturyPoints"": ""8"", ""MadinBonusPoint"": ""0"", ""MomPoints"": ""0"", ""OverAllPoints"": ""116"", ""PlayedPoints"": ""4"", ""PlayerId"": 64712, ""RunBonusPoints"": ""0"", ""RunOutPoints"": ""0"", ""RunsPoints"": ""80"", ""SixPoints"": ""10.00"", ""StrikeRatePoints"": ""6"", ""StumpingPoints"": ""0"", ""THWicketPoints"": ""0"", ""TWWicketPoints"": ""0"", ""ThirtyBonusPoints"": ""0"", ""ThreeWkHaul"": ""0"", ""TwoWkHaul"": ""0"", ""WicketBonusPoints"": ""0"", ""WicketPoints"": ""0"", ""WktBonusPoints"": ""0""}], ""GamedayStats"": [{""BatsmanRuns"": ""80"", ""Boundaries"": ""8"", ""BowlerRun"": ""0"", ""Catches"": ""0"", ""Century"": ""0"", ""CthsBonus"": ""0"", ""DuckOut"": ""0"", ""EconomyRate"": ""0"", ""FiveWkHaul"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": null, ""GamedayId"": 1, ""HalfCentury"": ""1"", ""IsMaiden"": ""0"", ""IsMom"": ""0"", ""IsPlayed"": ""1"", ""MatchId"": 0, ""NoOfDotBalls"": ""0"", ""NoOfFacedBalls"": ""38"", ""PlayerId"": 64712, ""RunBonusPoints"": null, ""RunOut"": ""0"", ""SelectedPer"": ""61.71"", ""SilverJubilee"": ""0"", ""Sixes"": ""5"", ""StrikeRate"": ""210.52"", ""Stumping"": ""0"", ""TeamId"": null, ""ThirtyBonus"": ""0"", ""ThreeWkHaul"": ""0"", ""TourId"": 0, ""TwoWkHaul"": ""0"", ""WicketBonus"": ""0"", ""Wickets"": ""0"", ""WktBonus"": ""0""}]}"
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,65632,Phil Salt,1105,RCB,WK,42,63.0,False,True,False,ok,8,7,2,0,114.28,0,0,0,3,0,0,1,"{""bonuses"": {""catch_bonus"": ""4"", ""century"": ""0"", ""half_century"": ""0"", ""mom"": ""0"", ""thirty"": ""0"", ""wicket_bonus"": ""0""}, ""catches"": ""24"", ""economy"": ""0"", ""fours"": ""2"", ""overall"": ""42"", ""run_outs"": ""0"", ""runs"": ""8"", ""sixes"": ""0.00"", ""starting_xi"": ""4"", ""strike_rate"": ""0"", ""stumpings"": ""0"", ""wickets"": ""0""}","{""GamedayPoints"": [{""CatchePoints"": ""24"", ""CthsBonusPoints"": ""4"", ""DirectRunOutPoints"": ""0"", ""DotBonusPoint"": ""0"", ""DuckOutPoints"": ""0"", ""EconomyRatePoint"": ""0"", ""FRWicketPoints"": ""0"", ""FVWicketPoints"": ""0"", ""FiveWkHaul"": ""0"", ""FourPoints"": ""2"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": ""0"", ""GamedayId"": 1, ""HATTrickPOints"": ""0"", ""HalfCenturyPoints"": ""0"", ""MadinBonusPoint"": ""0"", ""MomPoints"": ""0"", ""OverAllPoints"": ""42"", ""PlayedPoints"": ""4"", ""PlayerId"": 65632, ""RunBonusPoints"": ""0"", ""RunOutPoints"": ""0"", ""RunsPoints"": ""8"", ""SixPoints"": ""0.00"", ""StrikeRatePoints"": ""0"", ""StumpingPoints"": ""0"", ""THWicketPoints"": ""0"", ""TWWicketPoints"": ""0"", ""ThirtyBonusPoints"": ""0"", ""ThreeWkHaul"": ""0"", ""TwoWkHaul"": ""0"", ""WicketBonusPoints"": ""0"", ""WicketPoints"": ""0"", ""WktBonusPoints"": ""0""}], ""GamedayStats"": [{""BatsmanRuns"": ""8"", ""Boundaries"": ""2"", ""BowlerRun"": ""0"", ""Catches"": ""3"", ""Century"": ""0"", ""CthsBonus"": ""1"", ""DuckOut"": ""0"", ""EconomyRate"": ""0"", ""FiveWkHaul"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": null, ""GamedayId"": 1, ""HalfCentury"": ""0"", ""IsMaiden"": ""0"", ""IsMom"": ""0"", ""IsPlayed"": ""1"", ""MatchId"": 0, ""NoOfDotBalls"": ""0"", ""NoOfFacedBalls"": ""7"", ""PlayerId"": 65632, ""RunBonusPoints"": null, ""RunOut"": ""0"", ""SelectedPer"": ""32.81"", ""SilverJubilee"": ""0"", ""Sixes"": ""0"", ""StrikeRate"": ""114.28"", ""Stumping"": ""0"", ""TeamId"": null, ""ThirtyBonus"": ""0"", ""ThreeWkHaul"": ""0"", ""TourId"": 0, ""TwoWkHaul"": ""0"", ""WicketBonus"": ""0"", ""Wickets"": ""0"", ""WktBonus"": ""0""}]}"
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,66046,Finn Allen,1106,KKR,WK,0,0.0,False,False,False,not_played_or_no_points,,,,,,,,,,,,,{},null
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,61837,Sanju Samson,1108,CSK,WK,0,0.0,False,False,False,not_played_or_no_points,,,,,,,,,,,,,{},null
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,62023,Travis Head,1379,SRH,BAT,17,17.0,False,False,False,ok,11,9,2,0,122.22,0,0,0,0,0,0,1,"{""bonuses"": {""catch_bonus"": ""0"", ""century"": ""0"", ""half_century"": ""0"", ""mom"": ""0"", ""thirty"": ""0"", ""wicket_bonus"": ""0""}, ""catches"": ""0"", ""economy"": ""0"", ""fours"": ""2"", ""overall"": ""17"", ""run_outs"": ""0"", ""runs"": ""11"", ""sixes"": ""0.00"", ""starting_xi"": ""4"", ""strike_rate"": ""0"", ""stumpings"": ""0"", ""wickets"": ""0""}","{""GamedayPoints"": [{""CatchePoints"": ""0"", ""CthsBonusPoints"": ""0"", ""DirectRunOutPoints"": ""0"", ""DotBonusPoint"": ""0"", ""DuckOutPoints"": ""0"", ""EconomyRatePoint"": ""0"", ""FRWicketPoints"": ""0"", ""FVWicketPoints"": ""0"", ""FiveWkHaul"": ""0"", ""FourPoints"": ""2"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": ""0"", ""GamedayId"": 1, ""HATTrickPOints"": ""0"", ""HalfCenturyPoints"": ""0"", ""MadinBonusPoint"": ""0"", ""MomPoints"": ""0"", ""OverAllPoints"": ""17"", ""PlayedPoints"": ""4"", ""PlayerId"": 62023, ""RunBonusPoints"": ""0"", ""RunOutPoints"": ""0"", ""RunsPoints"": ""11"", ""SixPoints"": ""0.00"", ""StrikeRatePoints"": ""0"", ""StumpingPoints"": ""0"", ""THWicketPoints"": ""0"", ""TWWicketPoints"": ""0"", ""ThirtyBonusPoints"": ""0"", ""ThreeWkHaul"": ""0"", ""TwoWkHaul"": ""0"", ""WicketBonusPoints"": ""0"", ""WicketPoints"": ""0"", ""WktBonusPoints"": ""0""}], ""GamedayStats"": [{""BatsmanRuns"": ""11"", ""Boundaries"": ""2"", ""BowlerRun"": ""0"", ""Catches"": ""0"", ""Century"": ""0"", ""CthsBonus"": ""0"", ""DuckOut"": ""0"", ""EconomyRate"": ""0"", ""FiveWkHaul"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": null, ""GamedayId"": 1, ""HalfCentury"": ""0"", ""IsMaiden"": ""0"", ""IsMom"": ""0"", ""IsPlayed"": ""1"", ""MatchId"": 0, ""NoOfDotBalls"": ""0"", ""NoOfFacedBalls"": ""9"", ""PlayerId"": 62023, ""RunBonusPoints"": null, ""RunOut"": ""0"", ""SelectedPer"": ""49.08"", ""SilverJubilee"": ""0"", ""Sixes"": ""0"", ""StrikeRate"": ""122.22"", ""Stumping"": ""0"", ""TeamId"": null, ""ThirtyBonus"": ""0"", ""ThreeWkHaul"": ""0"", ""TourId"": 0, ""TwoWkHaul"": ""0"", ""WicketBonus"": ""0"", ""Wickets"": ""0"", ""WktBonus"": ""0""}]}"
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,3993,Virat Kohli,1105,RCB,BAT,110,110.0,False,False,False,ok,69,38,5,5,181.57,0,0,0,1,0,0,1,"{""bonuses"": {""catch_bonus"": ""0"", ""century"": ""0"", ""half_century"": ""8"", ""mom"": ""0"", ""thirty"": ""0"", ""wicket_bonus"": ""0""}, ""catches"": ""8"", ""economy"": ""0"", ""fours"": ""5"", ""overall"": ""110"", ""run_outs"": ""0"", ""runs"": ""69"", ""sixes"": ""10.00"", ""starting_xi"": ""4"", ""strike_rate"": ""6"", ""stumpings"": ""0"", ""wickets"": ""0""}","{""GamedayPoints"": [{""CatchePoints"": ""8"", ""CthsBonusPoints"": ""0"", ""DirectRunOutPoints"": ""0"", ""DotBonusPoint"": ""0"", ""DuckOutPoints"": ""0"", ""EconomyRatePoint"": ""0"", ""FRWicketPoints"": ""0"", ""FVWicketPoints"": ""0"", ""FiveWkHaul"": ""0"", ""FourPoints"": ""5"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": ""0"", ""GamedayId"": 1, ""HATTrickPOints"": ""0"", ""HalfCenturyPoints"": ""8"", ""MadinBonusPoint"": ""0"", ""MomPoints"": ""0"", ""OverAllPoints"": ""110"", ""PlayedPoints"": ""4"", ""PlayerId"": 3993, ""RunBonusPoints"": ""0"", ""RunOutPoints"": ""0"", ""RunsPoints"": ""69"", ""SixPoints"": ""10.00"", ""StrikeRatePoints"": ""6"", ""StumpingPoints"": ""0"", ""THWicketPoints"": ""0"", ""TWWicketPoints"": ""0"", ""ThirtyBonusPoints"": ""0"", ""ThreeWkHaul"": ""0"", ""TwoWkHaul"": ""0"", ""WicketBonusPoints"": ""0"", ""WicketPoints"": ""0"", ""WktBonusPoints"": ""0""}], ""GamedayStats"": [{""BatsmanRuns"": ""69"", ""Boundaries"": ""5"", ""BowlerRun"": ""0"", ""Catches"": ""1"", ""Century"": ""0"", ""CthsBonus"": ""0"", ""DuckOut"": ""0"", ""EconomyRate"": ""0"", ""FiveWkHaul"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": null, ""GamedayId"": 1, ""HalfCentury"": ""1"", ""IsMaiden"": ""0"", ""IsMom"": ""0"", ""IsPlayed"": ""1"", ""MatchId"": 0, ""NoOfDotBalls"": ""0"", ""NoOfFacedBalls"": ""38"", ""PlayerId"": 3993, ""RunBonusPoints"": null, ""RunOut"": ""0"", ""SelectedPer"": ""64.4"", ""SilverJubilee"": ""0"", ""Sixes"": ""5"", ""StrikeRate"": ""181.57"", ""Stumping"": ""0"", ""TeamId"": null, ""ThirtyBonus"": ""0"", ""ThreeWkHaul"": ""0"", ""TourId"": 0, ""TwoWkHaul"": ""0"", ""WicketBonus"": ""0"", ""Wickets"": ""0"", ""WktBonus"": ""0""}]}"
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,114349,Vaibhav Sooryavanshi,1110,RR,BAT,0,0.0,False,False,False,not_played_or_no_points,,,,,,,,,,,,,{},null
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,66799,Abhishek Sharma,1379,SRH,AR,13,26.0,True,False,False,ok,7,8,0,1,87.5,0,0,0,0,0,0,1,"{""bonuses"": {""catch_bonus"": ""0"", ""century"": ""0"", ""half_century"": ""0"", ""mom"": ""0"", ""thirty"": ""0"", ""wicket_bonus"": ""0""}, ""catches"": ""0"", ""economy"": ""0"", ""fours"": ""0"", ""overall"": ""13"", ""run_outs"": ""0"", ""runs"": ""7"", ""sixes"": ""2.00"", ""starting_xi"": ""4"", ""strike_rate"": ""0"", ""stumpings"": ""0"", ""wickets"": ""0""}","{""GamedayPoints"": [{""CatchePoints"": ""0"", ""CthsBonusPoints"": ""0"", ""DirectRunOutPoints"": ""0"", ""DotBonusPoint"": ""0"", ""DuckOutPoints"": ""0"", ""EconomyRatePoint"": ""0"", ""FRWicketPoints"": ""0"", ""FVWicketPoints"": ""0"", ""FiveWkHaul"": ""0"", ""FourPoints"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": ""0"", ""GamedayId"": 1, ""HATTrickPOints"": ""0"", ""HalfCenturyPoints"": ""0"", ""MadinBonusPoint"": ""0"", ""MomPoints"": ""0"", ""OverAllPoints"": ""13"", ""PlayedPoints"": ""4"", ""PlayerId"": 66799, ""RunBonusPoints"": ""0"", ""RunOutPoints"": ""0"", ""RunsPoints"": ""7"", ""SixPoints"": ""2.00"", ""StrikeRatePoints"": ""0"", ""StumpingPoints"": ""0"", ""THWicketPoints"": ""0"", ""TWWicketPoints"": ""0"", ""ThirtyBonusPoints"": ""0"", ""ThreeWkHaul"": ""0"", ""TwoWkHaul"": ""0"", ""WicketBonusPoints"": ""0"", ""WicketPoints"": ""0"", ""WktBonusPoints"": ""0""}], ""GamedayStats"": [{""BatsmanRuns"": ""7"", ""Boundaries"": ""0"", ""BowlerRun"": ""0"", ""Catches"": ""0"", ""Century"": ""0"", ""CthsBonus"": ""0"", ""DuckOut"": ""0"", ""EconomyRate"": ""0"", ""FiveWkHaul"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": null, ""GamedayId"": 1, ""HalfCentury"": ""0"", ""IsMaiden"": ""0"", ""IsMom"": ""0"", ""IsPlayed"": ""1"", ""MatchId"": 0, ""NoOfDotBalls"": ""0"", ""NoOfFacedBalls"": ""8"", ""PlayerId"": 66799, ""RunBonusPoints"": null, ""RunOut"": ""0"", ""SelectedPer"": ""58.03"", ""SilverJubilee"": ""0"", ""Sixes"": ""1"", ""StrikeRate"": ""87.5"", ""Stumping"": ""0"", ""TeamId"": null, ""ThirtyBonus"": ""0"", ""ThreeWkHaul"": ""0"", ""TourId"": 0, ""TwoWkHaul"": ""0"", ""WicketBonus"": ""0"", ""Wickets"": ""0"", ""WktBonus"": ""0""}]}"
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,57672,Jacob Duffy,1105,RCB,BOWL,87,87.0,False,False,False,ok,0,0,0,0,0,3,5.5,0,0,0,0,1,"{""bonuses"": {""catch_bonus"": ""0"", ""century"": ""0"", ""half_century"": ""0"", ""mom"": ""0"", ""thirty"": ""0"", ""wicket_bonus"": ""4""}, ""catches"": ""0"", ""economy"": ""4"", ""fours"": ""0"", ""overall"": ""87"", ""run_outs"": ""0"", ""runs"": ""0"", ""sixes"": ""0.00"", ""starting_xi"": ""4"", ""strike_rate"": ""0"", ""stumpings"": ""0"", ""wickets"": ""75""}","{""GamedayPoints"": [{""CatchePoints"": ""0"", ""CthsBonusPoints"": ""0"", ""DirectRunOutPoints"": ""0"", ""DotBonusPoint"": ""0"", ""DuckOutPoints"": ""0"", ""EconomyRatePoint"": ""4"", ""FRWicketPoints"": ""0"", ""FVWicketPoints"": ""0"", ""FiveWkHaul"": ""0"", ""FourPoints"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": ""0"", ""GamedayId"": 1, ""HATTrickPOints"": ""0"", ""HalfCenturyPoints"": ""0"", ""MadinBonusPoint"": ""0"", ""MomPoints"": ""0"", ""OverAllPoints"": ""87"", ""PlayedPoints"": ""4"", ""PlayerId"": 57672, ""RunBonusPoints"": ""0"", ""RunOutPoints"": ""0"", ""RunsPoints"": ""0"", ""SixPoints"": ""0.00"", ""StrikeRatePoints"": ""0"", ""StumpingPoints"": ""0"", ""THWicketPoints"": ""0"", ""TWWicketPoints"": ""0"", ""ThirtyBonusPoints"": ""0"", ""ThreeWkHaul"": ""0"", ""TwoWkHaul"": ""0"", ""WicketBonusPoints"": ""4"", ""WicketPoints"": ""75"", ""WktBonusPoints"": ""0""}], ""GamedayStats"": [{""BatsmanRuns"": ""0"", ""Boundaries"": ""0"", ""BowlerRun"": ""22"", ""Catches"": ""0"", ""Century"": ""0"", ""CthsBonus"": ""0"", ""DuckOut"": ""0"", ""EconomyRate"": ""5.5"", ""FiveWkHaul"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": null, ""GamedayId"": 1, ""HalfCentury"": ""0"", ""IsMaiden"": ""0"", ""IsMom"": ""1"", ""IsPlayed"": ""1"", ""MatchId"": 0, ""NoOfDotBalls"": ""13"", ""NoOfFacedBalls"": ""0"", ""PlayerId"": 57672, ""RunBonusPoints"": null, ""RunOut"": ""0"", ""SelectedPer"": ""26.79"", ""SilverJubilee"": ""0"", ""Sixes"": ""0"", ""StrikeRate"": ""0"", ""Stumping"": ""0"", ""TeamId"": null, ""ThirtyBonus"": ""0"", ""ThreeWkHaul"": ""0"", ""TourId"": 0, ""TwoWkHaul"": ""0"", ""WicketBonus"": ""1"", ""Wickets"": ""3"", ""WktBonus"": ""0""}]}"
24300104,Gentlemans league,59750501,Austin Cricket,1,22108.5,1,"{""away_team"": ""SRH"", ""home_team"": ""RCB"", ""match_id"": 267882, ""match_number"": ""Match 1"", ""starts_at"": ""03/28/2026 14:00:00"", ""status"": 2, ""team_gameday_id"": 1, ""tour_gameday_id"": 1, ""venue"": ""M.Chinnaswamy Stadium""}",1,489.0,0,0,160,,,5448,Jaydev Unadkat,1379,SRH,BOWL,41,41.0,False,False,False,ok,4,3,0,0,133.33,1,9.66,0,1,0,0,1,"{""bonuses"": {""catch_bonus"": ""0"", ""century"": ""0"", ""half_century"": ""0"", ""mom"": ""0"", ""thirty"": ""0"", ""wicket_bonus"": ""0""}, ""catches"": ""8"", ""economy"": ""0"", ""fours"": ""0"", ""overall"": ""41"", ""run_outs"": ""0"", ""runs"": ""4"", ""sixes"": ""0.00"", ""starting_xi"": ""4"", ""strike_rate"": ""0"", ""stumpings"": ""0"", ""wickets"": ""25""}","{""GamedayPoints"": [{""CatchePoints"": ""8"", ""CthsBonusPoints"": ""0"", ""DirectRunOutPoints"": ""0"", ""DotBonusPoint"": ""0"", ""DuckOutPoints"": ""0"", ""EconomyRatePoint"": ""0"", ""FRWicketPoints"": ""0"", ""FVWicketPoints"": ""0"", ""FiveWkHaul"": ""0"", ""FourPoints"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": ""0"", ""GamedayId"": 1, ""HATTrickPOints"": ""0"", ""HalfCenturyPoints"": ""0"", ""MadinBonusPoint"": ""0"", ""MomPoints"": ""0"", ""OverAllPoints"": ""41"", ""PlayedPoints"": ""4"", ""PlayerId"": 5448, ""RunBonusPoints"": ""0"", ""RunOutPoints"": ""0"", ""RunsPoints"": ""4"", ""SixPoints"": ""0.00"", ""StrikeRatePoints"": ""0"", ""StumpingPoints"": ""0"", ""THWicketPoints"": ""0"", ""TWWicketPoints"": ""0"", ""ThirtyBonusPoints"": ""0"", ""ThreeWkHaul"": ""0"", ""TwoWkHaul"": ""0"", ""WicketBonusPoints"": ""0"", ""WicketPoints"": ""25"", ""WktBonusPoints"": ""0""}], ""GamedayStats"": [{""BatsmanRuns"": ""4"", ""Boundaries"": ""0"", ""BowlerRun"": ""29"", ""Catches"": ""1"", ""Century"": ""0"", ""CthsBonus"": ""0"", ""DuckOut"": ""0"", ""EconomyRate"": ""9.66"", ""FiveWkHaul"": ""0"", ""FourWkHaul"": ""0"", ""FullCenturyPoints"": null, ""GamedayId"": 1, ""HalfCentury"": ""0"", ""IsMaiden"": ""0"", ""IsMom"": ""0"", ""IsPlayed"": ""1"", ""MatchId"": 0, ""NoOfDotBalls"": ""6"", ""NoOfFacedBalls"": ""3"", ""PlayerId"": 5448, ""RunBonusPoints"": null, ""RunOut"": ""0"", ""SelectedPer"": ""41.82"", ""SilverJubilee"": ""0"", ""Sixes"": ""0"", ""StrikeRate"": ""133.33"", ""Stumping"": ""0"", ""TeamId"": null, ""ThirtyBonus"": ""0"", ""ThreeWkHaul"": ""0"", ""TourId"": 0, ""TwoWkHaul"": ""0"", ""WicketBonus"": ""0"", ""Wickets"": ""1"", ""WktBonus"": ""0""}]}"
